0,120277746
1,119301815
2,118344767
3,119008165
4,119989130
5,118602004
6,122105839
7,129356000
8,119250235
9,120707953
10,121945490
11,120087716
12,121325434
13,119585790
14,125455587
15,122544671
16,119019306
17,121566171
18,119166969
19,120621618
20,120305569
21,118032062
22,123253825
23,119765192
24,119623563
25,118855870
26,118129674
27,118969798
28,117849079
29,118908204
30,119870051
31,121431291
32,118978872
33,119395460
34,119713316
35,119884820
36,119939790
37,118837281
38,115796437
39,122433547
40,116923607
41,119481105
42,120769483
43,119371056
44,118007887
45,119493662
46,120048561
47,115942400
48,120013684
49,120114101
50,120070585
51,119623729
52,119668979
53,120260771
54,119260374
55,119884323
56,120831979
57,130790168
58,134684413
59,133367687
60,134073194
61,134406072
62,132495282
63,135380132
64,133666055
65,132731276
66,134946764
67,134875524
68,134104506
69,132919634
70,133335523
71,129893129
72,122812393
73,118621008
74,119697921
75,120163162
76,120164654
77,120179739
78,117655576
79,120666831
80,120952381
81,120590288
82,118323424
83,116078853
84,120457644
85,116597439
86,120235144
87,118075786
88,119009183
89,120057684
90,118123379
91,120415469
92,116333524
93,120248223
94,119929895
95,119146552
96,119102652
97,119827731
98,118644465
99,117732462
