0,80917614,86265999,98083980,100994545
1,79652404,86688014,91883551,99052787
2,79062398,86431857,97016277,96298992
3,81806042,87169869,94701214,96099285
4,80992089,90293995,94363558,100895086
5,82405756,87168201,89422580,94705467
6,79756419,85626220,92309422,98747359
7,79912258,85759749,96103576,95165895
8,78566694,85688157,92475060,99489348
9,80198116,84693049,91705476,95222464
10,79600925,89249211,90061226,103208236
11,78875196,85668052,93908681,93855429
12,79163679,87848366,93943030,100912788
13,81148250,86410713,98346936,93739981
14,78595272,86534211,96920296,98661414
15,79225062,85845330,95972984,98870094
16,78882391,84814292,92656765,97147010
17,79835021,87125619,91269353,95779332
18,83092167,85096037,93052352,96688361
19,81038255,84646355,96522047,94855447
20,81141735,87225766,87050847,95591814
21,81319298,87565766,91017655,95904369
22,78656584,88533052,93646276,97923508
23,81629356,87846263,93263120,97063641
24,80796114,87441988,95255676,98903803
25,79201683,87782797,94358369,98857505
26,78779095,85160422,86232499,100665261
27,81828162,86421709,88199262,96758199
28,78935842,85530147,91524991,105513589
29,83024870,85424992,86327763,94765281
30,78695720,86900436,92079384,99751959
31,79636945,88846874,95950222,93112946
32,78396018,88667655,90393415,97036361
33,80481313,84484875,100279672,94327445
34,79217842,85515438,92438777,100858728
35,82749294,88380915,95953995,98381820
36,79291345,86287390,90976453,97825417
37,81978732,87752418,93655765,94359308
38,78368981,85597919,94756977,98276771
39,81989873,85238899,92482547,95155120
40,78832510,88025910,96030057,97719507
41,80925876,86386576,90138029,96876304
42,77812859,87263386,90355375,102503924
43,81102626,86385042,98754807,94807805
44,78512283,86358342,88110210,100170979
45,81259698,85786345,89635344,95105529
46,80757000,86942782,97596829,97062841
47,81820900,89084229,90561451,93586664
48,81353441,87307540,97195929,96216851
49,79744072,86311920,95623016,93607981
50,78733757,87399158,93224571,98295968
51,78737475,87139650,92552517,95675445
52,81161111,86695928,91382790,99227371
53,81543516,85682906,97537287,97152569
54,80218655,85879418,91302594,99806537
55,81703322,84847473,93518391,98341591
56,79724301,85458074,93367854,97306685
57,79978793,86771126,98376945,96296894
58,78484745,87681896,91910755,98665358
59,78524104,86944735,92368891,96243099
60,80414101,88025589,90363459,100559057
61,79424324,87690156,90576626,96375313
62,81082625,87596956,92750363,101780175
63,78832262,86899935,92476401,96792371
64,79151671,86473418,93114833,101553181
65,80342154,86105550,94847840,98826254
66,79094641,85857700,92812519,101632521
67,81702590,86372258,91762202,95152122
68,80000942,85205618,88813278,99836754
69,85477457,87382979,96853034,96709101
70,79201115,86816150,91828285,98072131
71,84127591,86201220,91670063,94892099
72,78240642,87856258,98406552,101573835
73,78807719,85901599,91630120,95192901
74,80738770,87307185,92514712,98108565
75,79350010,87793997,97953215,97674952
76,80581620,87550941,93914324,98657915
77,84007043,90389340,101024242,96719290
78,81251110,84949324,93743848,100578495
79,80119821,85816947,92624913,99411352
80,81580648,84845876,89848765,98503168
81,79851021,88546383,97679245,99187644
82,81478907,87239501,89270691,101567811
83,82299341,89258259,89605704,98490651
84,85320819,86831898,90674442,102718342
85,80517335,85076661,88301016,95398722
86,78535333,86689351,100256685,100263156
87,79741889,87225021,95335604,95861291
88,79295801,87932001,96843243,102071834
89,80447359,86222918,94800546,96790216
90,79855944,85923647,90249413,101094636
91,81835676,85475888,91916498,96517658
92,80789331,85410855,96845228,100624079
93,83394485,87049034,92510641,96111642
94,79667074,86164958,91076968,98840047
95,80416866,86279447,96460802,93581095
96,78639340,84590233,94592802,99795766
97,79754891,86707672,93531795,96273102
98,81806472,86387114,90510195,99334197
99,79952165,87238885,94517312,97132037
