id, 10, 100, 1000, 10000, 100000, 1000000, 100000000,
34480,250900,1185891,12385867,117992701,1183798021,1191239156,
1,32164,260530,1223858,12091213,121531464,1195555134,1153091793,
2,32545,256472,1225429,12193745,118059895,1199286825,1188510523,
3,33106,256295,1233615,12182362,118837845,1191199926,1203785813,
4,32909,254548,1202197,11946555,119434870,1183034221,1171718466,
5,32221,253743,1237672,12389058,117998985,1206978784,1183650891,
6,32642,257005,1222908,12094408,120116261,1153376418,1175658758,
7,32819,252528,1270395,11946407,119613364,1177668453,1174813100,
8,33281,257749,1234707,12332118,116360621,1174222382,1177410350,
9,32682,251124,1202237,11783302,118478837,1188510463,1188806186,
10,32582,251175,1200112,12060079,119755565,1172711545,1190917196,
11,32899,256352,1226716,11980781,121790882,1198863290,1187130897,
12,33939,260289,1231332,11659027,120741987,1191312769,1200423069,
13,32148,261546,1229624,12321769,116479034,1183053175,1175318408,
14,32615,257713,1236058,11874844,118728993,1183733096,1189277050,
15,98431,250434,1319991,12051646,118646198,1169937147,1195324770,
16,28022,253700,1355351,12312700,119020300,1181634710,1182109780,
17,27609,256675,1343561,12013248,118676599,1187013558,1173536730,
18,27890,255115,1315674,12454616,120574304,1174864130,1188325107,
19,27506,254356,1234770,12016476,118573033,1196131909,1152959746,
20,27704,255298,1315586,11976380,119944097,1195264681,1184923961,
21,27753,257303,1264575,12391307,120238105,1229286992,1193090722,
22,28861,259099,1199709,12028976,118098715,1183378657,1152889228,
23,27103,254995,1218966,12342888,120286331,1152981586,1229645715,
24,27824,255436,1228566,12227210,119743286,1153286623,1193441896,
25,27311,257383,1207695,11913815,118123944,1182142262,1185419196,
26,27732,256197,1206543,12418484,122359522,1176059824,1188624381,
27,28635,257182,1227574,12025053,119641127,1190193489,1193020719,
28,27113,256103,1205691,12384073,120831180,1217070027,1185221098,
29,27509,253449,1229591,11891605,119189732,1187178450,1189757596,
30,27567,255112,1221050,11879593,118394595,1212719811,1203934900,
31,27263,254468,1210721,12616960,120190806,1188404696,1196392240,
